3372 9769
367 569 B
157 350 A
414 663 B
498 644 B
534 621 A
47 601 B
367 609 B
234 291 B
353 367 B
188 245 B
520 667 B
213 720 B
470 556 B
498 563 A
201 582 B
527 542 B
339 634 A
63 158 A
51 674 A
521 686 B
180 612 A
310 540 A
514 683 A
393 594 B
250 390 A
594 606 B
93 251 A
177 263 A
587 663 A
477 647 B
286 346 B
556 641 A
116 144 A
509 701 B
407 549 B
647 664 B
513 675 A
200 596 B
307 557 A
182 599 A
3 160 A
3 341 A
371 477 A
611 711 A
653 716 B
354 459 B
446 670 A
297 570 B
315 419 A
456 696 A
414 596 A
114 672 A
551 658 A
74 205 B
130 487 A
248 432 A
670 681 B
626 634 A
229 548 B
544 565 B
185 678 B
148 282 A
576 709 A
387 426 B
79 412 B
222 230 A
285 371 B
478 524 A
626 695 A
118 333 B
247 251 A
212 628 A
401 472 A
16 94 B
235 684 A
283 464 B
31 231 B
652 673 B
521 718 B
588 716 B
389 395 A
120 332 A
199 612 B
91 331 A
322 610 B
287 662 B
412 594 B
243 383 B
394 626 B
423 489 A
624 715 A
415 605 B
81 330 B
552 632 B
30 720 B
380 651 A
435 453 A
353 398 B
198 476 B
262 652 B
181 313 A
538 708 B
342 362 A
674 675 A
248 536 B
237 682 A
457 472 A
308 475 A
513 657 A
690 698 B
340 401 B
52 429 A
53 378 A
475 487 B
643 671 A
224 381 A
616 708 B
382 566 B
464 507 A
362 509 B
600 708 A
334 356 B
355 416 A
543 664 B
411 414 B
572 664 B
34 91 B
570 705 A
645 666 B
451 479 B
622 704 B
527 675 B
227 664 A
658 708 B
528 697 A
544 572 B
521 704 A
250 627 A
150 533 A
431 588 A
412 637 B
11 452 B
634 639 A
206 718 A
407 539 B
206 332 B
543 649 A
676 680 B
654 668 B
204 489 B
313 600 A
242 338 A
475 634 A
1 14 A
198 221 B
597 693 A
162 577 B
201 417 A
267 453 B
362 611 A
26 143 B
646 718 A
45 401 B
336 557 B
26 551 B
243 694 B
590 607 B
692 698 A
333 385 B
168 336 B
553 686 A
24 444 B
341 437 B
500 590 A
501 647 A
483 512 B
298 496 A
166 197 A
128 262 A
98 529 A
185 524 A
74 286 B
145 286 A
133 557 B
356 430 A
182 231 B
23 284 A
390 540 B
715 720 A
532 700 B
509 588 A
182 330 B
591 610 A
285 569 A
96 692 B
275 617 A
3 62 A
411 471 B
333 602 B
204 327 A
446 457 A
661 689 A
229 353 B
685 698 B
531 657 B
587 658 A
671 696 B
356 497 A
192 601 B
570 706 A
546 570 B
148 703 B
62 155 B
260 607 B
426 496 B
711 719 B
240 559 A
142 551 A
11 440 B
165 250 A
718 720 B
138 660 A
202 685 B
186 372 B
280 316 B
185 453 A
224 226 A
79 422 B
388 560 B
612 638 A
193 601 A
173 247 A
531 682 A
110 455 A
655 669 A
64 529 B
332 483 A
59 699 A
304 483 B
376 644 B
318 466 B
516 609 A
418 560 B
194 503 B
66 132 B
126 515 A
334 631 A
453 537 A
104 411 A
610 715 B
2 522 A
441 719 A
48 82 B
524 670 B
48 289 A
320 658 A
564 642 B
428 657 B
301 348 A
114 125 B
214 380 A
430 719 B
453 468 B
604 682 B
114 491 B
263 325 B
548 598 A
430 625 A
486 603 B
543 673 A
219 561 A
631 665 B
423 535 A
161 633 A
417 448 B
360 714 A
651 665 A
76 171 A
284 630 A
488 676 A
587 688 B
15 426 A
233 642 B
654 675 B
382 648 A
577 642 A
504 708 A
656 680 A
371 445 A
57 640 B
638 663 A
312 559 B
514 602 B
370 417 A
46 504 A
237 520 B
717 718 A
389 459 B
632 653 B
126 392 B
500 585 B
387 560 B
128 367 B
443 650 B
703 705 B
282 423 A
451 554 B
426 674 B
198 270 B
609 677 A
168 469 B
60 218 A
339 347 A
506 569 A
672 680 B
87 193 A
495 676 B
395 619 A
607 665 B
488 511 B
316 570 A
286 486 A
477 585 B
75 291 A
207 637 B
679 704 B
337 713 B
16 333 A
245 302 B
642 696 A
218 717 A
667 706 B
587 595 B
366 519 B
143 435 B
646 693 A
25 40 A
261 713 B
82 704 A
469 559 A
218 235 A
110 224 A
281 305 A
218 252 A
142 161 A
476 638 A
388 554 A
528 694 A
663 713 A
327 367 A
238 524 A
34 623 A
600 654 B
431 440 B
449 581 A
549 602 A
315 342 A
525 672 B
338 381 B
304 555 B
418 609 B
256 423 B
67 528 A
538 568 A
249 267 B
215 627 A
347 406 A
186 623 B
261 484 B
665 674 A
160 553 B
639 650 B
583 719 B
7 346 A
256 398 A
646 708 B
260 568 B
59 513 A
31 475 A
487 590 B
91 124 A
6 499 B
597 657 A
303 331 B
513 546 B
307 500 A
144 641 B
519 718 A
442 535 A
169 399 B
165 373 A
432 438 A
53 156 B
70 275 B
122 519 A
639 714 B
363 381 B
234 354 B
217 666 B
429 680 B
140 506 A
679 695 A
294 459 B
468 646 B
232 574 B
211 672 A
158 673 B
339 683 A
165 401 A
444 471 A
289 305 A
184 601 B
468 602 A
536 687 B
479 682 B
581 618 A
170 404 B
379 598 B
349 687 A
88 112 A
627 694 B
151 500 A
634 637 A
167 660 A
718 719 A
375 636 A
551 676 A
497 664 B
374 451 B
222 649 B
1 119 B
411 563 A
47 244 B
436 549 B
273 525 A
168 718 B
573 658 A
449 586 B
608 670 B
456 669 A
432 572 A
582 604 B
582 585 B
212 303 B
381 675 A
585 648 B
465 564 A
706 719 B
49 462 B
542 676 B
670 692 A
522 551 B
558 582 A
471 712 B
616 669 A
451 676 A
178 462 A
405 537 A
645 676 A
689 690 A
43 328 A
533 653 A
146 218 B
190 605 B
261 388 A
353 488 B
56 258 A
691 699 B
267 643 A
667 719 B
659 700 B
358 693 A
199 539 B
140 621 B
70 248 A
314 624 A
465 534 B
82 132 B
261 296 A
132 719 A
267 459 A
626 638 A
446 451 A
150 202 B
474 504 A
476 561 A
182 473 A
550 689 A
69 469 A
644 706 A
665 676 B
502 612 A
128 170 A
323 633 A
350 709 A
289 667 A
694 710 A
16 295 B
1 532 A
306 430 B
469 554 A
174 620 A
297 463 B
179 651 B
450 581 B
627 712 B
55 465 A
646 681 B
552 606 A
373 678 A
445 585 A
260 332 A
511 635 B
150 378 A
538 639 B
89 645 A
381 428 B
401 585 B
199 378 A
153 273 A
261 694 A
92 516 A
424 453 A
312 454 B
107 176 A
487 491 B
269 720 B
676 677 A
139 665 B
614 676 B
218 454 A
51 227 A
405 617 A
429 685 A
311 596 B
185 380 B
602 670 B
713 716 A
176 568 B
414 677 B
431 559 B
461 612 A
250 370 A
655 699 B
454 703 B
703 716 B
438 457 B
178 529 B
592 660 B
525 564 B
447 699 A
567 641 B
493 535 A
292 537 A
209 650 A
73 374 B
456 597 B
260 549 B
664 710 B
634 665 A
272 676 A
400 402 A
462 557 B
271 369 A
3 110 B
76 163 B
380 576 A
326 561 A
476 647 B
238 453 A
135 441 B
688 712 B
124 560 B
456 668 B
170 261 B
679 693 B
337 413 B
76 363 A
11 122 A
248 597 B
325 550 A
702 706 A
232 392 A
142 532 A
439 588 A
193 198 A
492 599 A
525 589 B
485 705 A
385 676 A
265 540 A
489 539 A
298 322 B
667 720 A
508 664 B
307 427 B
41 160 B
606 686 B
48 93 A
105 219 B
437 645 A
443 575 A
663 712 B
134 607 A
696 707 A
595 696 A
480 542 A
573 649 A
9 303 A
55 620 B
416 428 A
46 199 A
595 681 B
553 607 A
87 615 A
384 688 A
586 714 B
538 706 A
536 651 A
478 693 A
238 429 A
91 613 B
201 325 B
696 715 A
687 714 A
104 220 A
369 634 B
457 682 B
326 532 A
311 350 B
570 685 A
91 521 A
198 593 B
388 404 A
601 710 A
520 693 B
368 608 B
223 415 A
291 371 B
483 564 A
27 405 A
307 635 A
535 606 A
503 660 B
273 623 A
418 677 A
673 711 B
285 663 B
233 547 A
295 451 B
353 649 A
50 393 B
573 639 B
458 661 B
382 624 A
636 718 B
34 522 B
506 620 A
716 717 A
273 469 A
131 516 A
248 256 A
245 335 B
353 441 B
440 545 A
422 515 A
500 589 A
345 377 B
650 697 A
100 579 B
564 595 A
53 564 A
176 209 A
386 664 A
601 683 B
273 694 B
24 579 A
447 514 B
682 700 B
60 338 A
467 647 A
497 681 B
68 431 A
346 351 A
390 647 B
412 557 B
171 208 B
696 711 A
132 419 B
128 299 A
518 519 A
120 148 B
253 544 A
350 638 A
651 697 B
198 596 B
39 588 A
98 298 B
611 626 B
653 712 B
521 636 A
171 525 A
471 507 A
24 665 B
325 491 A
610 622 B
463 582 B
401 422 B
127 131 A
412 664 B
471 551 A
367 595 A
585 612 A
574 702 B
325 466 A
530 679 A
255 465 A
150 526 A
206 500 B
648 669 B
587 622 B
714 719 A
69 258 B
145 237 A
378 680 B
56 674 B
185 547 B
574 608 B
94 544 B
466 546 A
227 436 A
453 469 B
372 396 A
235 337 A
295 386 A
598 660 A
209 646 B
216 237 B
222 676 B
654 710 B
275 641 B
647 689 A
291 496 B
526 651 A
482 678 A
429 606 A
466 658 B
288 606 B
47 357 A
359 648 B
98 392 A
250 631 A
134 223 A
368 551 B
5 421 A
124 309 B
353 694 A
656 713 B
348 697 A
103 644 A
371 417 A
650 717 A
45 714 B
445 622 A
575 643 A
12 353 B
216 669 B
104 178 A
67 483 A
353 455 A
347 351 B
360 545 A
628 649 B
328 526 A
580 716 A
670 708 A
49 516 A
627 667 A
582 698 B
7 309 B
610 660 B
444 675 B
194 199 A
113 283 A
157 582 B
598 686 B
353 368 A
483 593 A
552 656 A
677 695 B
321 633 A
206 609 A
685 718 B
44 483 B
336 347 A
477 699 A
400 702 B
639 679 B
491 701 A
665 686 A
168 339 B
309 329 A
588 650 B
61 710 A
698 715 B
646 653 B
262 548 A
560 678 A
651 657 B
65 557 B
240 283 B
427 713 A
689 692 A
81 470 A
375 597 B
548 667 A
255 261 A
680 694 A
249 688 B
408 556 B
117 498 B
323 424 B
350 463 B
228 664 A
223 433 A
302 365 B
506 641 A
121 283 A
490 522 B
4 118 A
694 717 B
551 583 A
435 518 A
638 670 A
12 254 B
544 607 A
87 268 B
54 198 A
353 706 A
468 586 A
278 461 B
544 694 B
228 695 A
297 480 B
141 330 B
83 238 B
248 488 B
428 565 A
29 464 A
135 640 B
636 703 A
335 440 B
665 692 B
203 354 B
105 365 B
340 705 A
275 665 B
479 567 B
313 334 A
675 714 A
480 634 B
347 360 A
469 619 A
655 691 A
18 94 B
286 448 B
135 267 A
292 386 B
619 687 A
349 485 B
353 552 A
212 535 A
3 533 B
667 711 B
74 461 B
101 318 A
296 633 B
152 205 B
538 648 A
538 695 B
530 627 B
48 79 A
586 606 A
85 169 A
381 653 A
380 474 A
528 663 A
186 286 B
546 690 A
607 644 A
480 506 A
514 543 A
178 555 A
486 693 B
703 717 A
382 565 B
281 435 B
163 448 B
672 687 B
173 493 B
533 577 B
133 591 B
701 711 B
19 633 A
460 680 B
42 266 A
184 597 A
342 617 B
35 629 B
393 456 A
504 537 B
147 378 A
679 720 A
378 445 B
465 676 B
416 458 A
420 423 A
351 486 A
641 679 B
633 672 B
343 522 A
351 429 A
663 701 A
585 674 A
505 655 A
314 688 A
321 368 A
683 702 B
77 321 B
506 593 B
596 678 B
440 656 A
301 383 B
309 543 B
664 720 A
222 282 B
584 661 A
255 318 A
387 389 A
516 662 A
695 704 B
433 560 A
596 634 B
600 702 A
279 584 A
361 693 B
713 720 A
514 536 B
417 499 A
212 541 B
120 241 B
433 627 A
174 598 A
639 669 A
584 681 A
313 373 B
58 272 A
118 516 A
187 204 B
714 718 A
80 668 A
566 696 B
591 693 A
208 287 B
675 684 B
125 664 B
338 710 A
110 627 A
88 223 A
459 621 A
401 422 B
574 673 B
94 662 B
470 579 A
284 471 B
312 462 A
215 534 A
426 597 B
240 585 A
212 519 A
69 346 A
597 636 A
651 669 A
363 423 B
473 663 A
469 556 A
134 509 B
75 556 B
611 671 A
139 280 B
353 378 A
571 664 B
170 602 B
608 693 A
146 380 B
383 413 A
22 266 B
690 703 A
496 543 A
298 392 A
414 535 A
641 643 B
390 490 B
228 594 B
160 547 A
88 161 A
706 714 A
644 709 B
359 458 B
33 664 A
143 414 A
325 718 A
502 650 A
251 520 B
348 506 A
249 390 A
158 356 B
707 716 B
530 598 B
25 36 A
590 638 A
416 429 B
568 592 A
605 660 A
264 380 B
282 597 A
606 686 B
715 718 A
550 717 B
91 623 A
568 599 A
481 629 A
253 395 B
405 572 B
260 535 A
442 576 A
104 141 A
345 382 A
683 712 A
713 716 A
477 559 A
266 329 A
45 692 B
387 684 A
355 439 B
336 672 B
27 223 A
681 714 A
676 696 A
345 610 B
92 511 A
367 700 A
120 385 B
562 588 A
118 444 B
590 615 B
326 436 A
235 442 B
581 717 A
197 605 B
463 575 A
27 435 B
520 608 A
199 463 A
317 327 B
223 518 B
309 440 A
209 234 A
449 478 B
143 503 A
636 659 B
112 513 A
243 379 A
322 457 A
680 684 A
598 689 A
575 718 A
553 609 B
208 631 B
716 718 A
295 310 A
518 583 A
597 634 A
411 445 B
102 688 A
29 291 B
500 598 A
653 656 B
691 711 A
438 635 A
217 522 B
236 519 A
119 531 B
592 678 B
474 660 A
392 597 B
176 179 B
540 570 B
427 614 B
163 275 B
46 669 B
651 681 B
210 254 B
192 195 A
248 544 A
548 622 B
625 686 A
29 526 A
635 685 A
430 473 B
22 395 A
213 445 A
353 712 B
686 694 B
666 681 A
698 709 B
133 676 A
594 615 A
152 696 A
115 348 B
676 684 B
582 672 B
3 675 A
505 590 A
649 699 A
90 684 B
276 404 B
10 569 B
554 664 A
434 691 B
137 594 A
96 558 A
173 500 A
365 398 A
457 551 A
585 667 A
379 422 A
494 595 B
117 430 A
153 719 B
259 673 A
158 386 B
615 700 A
499 559 A
132 205 B
510 528 B
379 581 B
26 365 B
436 500 B
125 207 A
627 712 A
292 678 A
576 622 A
250 308 B
285 534 A
519 623 A
606 637 A
242 492 B
525 655 B
35 259 B
550 680 B
609 644 B
202 354 A
404 500 B
56 566 A
274 587 A
717 718 B
195 384 B
319 356 A
632 643 A
538 717 A
310 504 A
7 160 A
224 434 B
421 668 B
462 565 A
511 693 A
68 417 B
306 346 B
648 681 A
262 423 A
252 627 B
353 378 A
662 678 B
583 672 B
248 373 B
455 558 B
308 704 A
658 718 B
115 464 A
312 681 A
655 715 A
3 362 A
316 480 A
46 279 B
478 670 B
29 525 B
578 619 A
480 613 B
545 597 A
589 619 A
145 324 A
455 547 B
148 673 A
292 557 A
264 333 A
275 717 B
513 580 B
105 351 A
704 709 B
230 682 A
98 103 B
350 361 B
666 696 B
59 713 B
462 602 B
92 592 B
710 719 A
608 610 B
133 541 B
541 543 B
502 618 A
39 451 B
250 592 A
303 314 B
647 653 A
15 341 B
398 580 A
236 275 A
261 703 A
187 334 A
192 236 B
347 373 A
17 642 A
368 609 B
490 625 B
516 549 B
90 212 A
566 683 A
89 396 A
341 357 B
267 630 A
714 715 B
353 716 A
496 613 B
246 416 B
30 300 A
79 604 A
447 676 B
483 524 B
183 388 A
353 675 A
348 458 B
524 625 B
394 421 A
661 691 A
442 494 A
574 655 A
472 491 B
214 286 A
303 499 A
369 481 B
585 715 B
637 718 A
624 715 A
488 683 B
70 166 A
376 442 B
478 609 B
651 674 B
18 402 B
13 590 B
142 692 B
402 586 B
479 638 A
678 679 A
649 661 A
504 632 B
49 121 B
32 621 A
31 363 A
491 559 A
21 190 A
436 554 A
209 289 A
502 628 A
175 463 B
231 259 B
532 632 A
270 322 A
120 637 A
642 661 B
380 527 A
382 498 A
677 696 B
100 613 A
7 700 B
189 242 B
50 207 A
105 581 A
352 668 A
681 696 B
111 516 B
112 341 A
258 330 A
229 512 A
620 679 B
501 565 A
337 372 B
427 638 B
529 691 A
417 680 B
713 717 A
506 540 B
685 693 B
318 611 A
549 630 B
65 326 B
473 629 A
592 632 A
327 520 B
262 544 B
220 475 B
345 521 B
466 718 A
116 336 B
597 598 A
506 588 B
536 626 B
682 707 B
99 272 A
367 658 A
327 589 B
513 660 B
287 412 B
180 558 A
77 569 B
353 651 A
607 699 A
280 598 A
98 637 B
274 702 A
634 647 A
83 648 B
256 471 B
237 488 A
175 632 A
54 227 A
408 609 B
80 387 A
665 688 A
542 637 B
622 720 A
609 629 B
413 447 A
250 383 B
707 713 A
47 638 A
554 614 A
385 400 A
24 136 A
387 482 A
711 719 A
372 475 A
323 423 B
133 535 B
207 335 A
506 512 A
578 657 A
543 634 B
208 445 A
108 144 A
431 617 B
419 645 B
450 474 A
512 678 B
40 439 A
407 574 B
580 646 B
637 677 B
384 703 B
265 517 A
82 707 B
84 561 B
495 590 A
395 670 B
78 370 B
620 677 B
86 442 B
412 680 B
329 694 B
57 436 A
693 706 A
657 666 A
609 710 B
308 350 B
355 645 A
374 531 A
404 452 B
94 377 A
612 644 B
460 521 B
344 623 A
606 704 B
479 708 A
527 531 A
532 664 A
206 579 B
326 441 B
425 609 B
395 397 B
592 643 B
332 430 B
256 527 A
652 670 B
386 594 A
611 625 B
299 373 B
388 402 A
676 711 A
686 715 B
423 620 A
349 422 B
94 324 B
111 636 B
41 262 B
139 333 B
89 406 A
561 664 B
571 695 B
148 433 B
39 220 A
304 705 A
377 520 B
523 572 B
543 559 B
242 369 B
352 464 A
210 542 B
472 677 A
509 542 B
302 325 B
353 377 B
301 627 A
203 464 B
672 692 A
688 691 A
481 688 A
632 716 B
391 509 A
282 334 B
25 289 A
620 697 B
180 528 B
432 530 B
145 612 B
546 701 B
554 645 B
627 686 B
24 428 A
638 677 A
433 457 A
644 688 B
39 223 A
328 365 A
445 571 A
5 587 A
719 720 A
259 356 A
77 150 A
625 701 B
214 445 A
117 263 A
36 341 A
179 247 A
496 631 A
329 656 A
411 416 A
90 553 B
226 653 A
44 541 B
511 563 B
121 249 B
387 448 B
90 517 A
668 669 A
588 679 B
111 168 A
695 699 A
506 530 A
387 534 A
352 455 B
496 634 A
313 373 B
591 671 A
348 639 A
715 716 B
164 685 B
490 565 A
169 697 B
228 477 A
380 598 B
15 282 B
481 666 B
535 601 B
185 626 A
55 134 B
47 309 B
402 568 B
570 671 A
578 628 B
310 695 B
243 486 B
680 694 B
678 680 B
488 653 B
344 459 A
261 659 A
481 603 A
376 470 B
692 717 A
433 616 B
523 653 A
647 687 B
103 323 B
260 484 A
371 529 B
208 626 B
484 497 B
439 623 B
458 717 A
570 654 B
577 626 B
354 631 A
640 717 B
610 694 A
567 645 A
135 423 B
668 713 B
56 613 A
683 707 A
133 406 A
41 308 A
74 134 A
638 709 A
353 475 A
700 714 B
374 682 A
567 674 B
635 684 A
411 673 B
298 513 A
317 667 A
163 560 A
255 705 A
8 288 B
209 298 B
717 720 A
108 304 B
209 520 A
324 547 A
509 669 A
606 692 B
455 608 B
715 718 A
215 372 A
495 540 B
328 478 B
446 590 A
414 507 A
692 720 A
485 612 B
709 716 B
692 703 B
124 374 B
314 460 A
467 679 A
484 530 A
214 628 A
620 695 A
442 654 A
636 653 A
328 693 A
322 689 B
645 652 A
333 618 A
380 631 B
340 409 B
705 713 B
336 691 A
63 475 B
257 478 B
110 244 B
24 429 B
164 376 B
556 580 B
175 507 A
422 484 B
556 693 A
713 719 A
103 557 B
310 601 A
433 559 B
131 490 B
421 685 B
698 704 B
131 183 B
676 683 B
487 609 A
237 257 B
562 672 A
443 670 B
647 715 A
295 690 B
331 717 A
500 513 B
288 689 B
84 104 B
450 661 A
455 494 B
151 375 A
652 712 B
364 543 B
272 530 A
58 208 B
335 709 A
63 413 B
583 683 A
152 286 B
705 715 A
142 522 A
174 448 B
434 465 B
678 689 A
482 548 A
298 332 A
283 609 B
444 541 B
594 684 A
33 164 A
218 627 B
673 700 A
443 512 A
643 706 A
470 541 B
494 559 B
695 719 B
703 709 A
162 693 B
547 650 A
362 402 A
439 713 A
210 583 B
264 525 A
699 716 A
77 283 B
710 717 B
640 715 A
697 698 A
707 708 B
187 668 A
386 502 A
669 694 B
674 699 A
323 345 B
86 89 A
475 528 B
662 708 A
514 556 B
100 668 B
22 547 A
209 212 B
362 509 B
416 635 B
450 655 A
433 442 B
6 544 A
695 710 B
330 367 A
343 663 A
596 658 B
231 366 A
99 454 B
83 144 B
135 378 A
358 386 B
122 443 B
65 103 B
175 677 B
296 471 B
514 711 B
198 456 A
339 575 A
353 535 A
371 702 B
427 618 B
704 710 A
497 675 B
109 366 B
135 440 B
468 578 B
673 696 A
23 644 B
4 432 B
236 641 A
374 639 B
628 671 B
709 717 B
591 712 B
382 569 B
712 713 A
75 482 B
581 627 B
289 524 B
713 717 B
638 698 B
536 569 B
488 689 B
621 637 A
93 224 A
263 562 A
288 581 A
353 692 B
295 428 B
62 143 B
323 457 B
121 430 B
661 673 A
230 623 B
324 622 A
247 271 A
489 499 A
147 285 A
578 677 B
435 445 B
137 252 A
579 608 B
274 540 A
130 347 B
397 647 B
104 386 B
555 565 A
642 699 A
168 615 B
595 644 A
423 650 B
524 531 A
242 679 A
49 358 A
472 539 B
526 580 B
337 523 A
649 692 A
556 716 A
104 472 A
153 491 B
701 708 B
348 642 B
519 626 B
520 604 B
656 711 A
547 610 A
122 494 A
77 234 A
717 718 B
601 625 A
489 527 B
167 224 B
215 311 B
273 711 A
552 613 A
213 700 A
361 507 A
300 468 A
219 395 A
190 478 B
353 716 B
503 518 A
336 545 B
527 538 A
151 590 A
445 477 A
79 209 B
54 93 A
48 687 A
347 448 B
5 495 A
696 717 B
718 720 A
300 633 A
32 717 B
539 584 A
130 336 B
46 319 B
140 368 B
439 599 A
227 572 B
56 271 A
538 704 B
178 693 B
313 671 B
260 432 A
467 507 B
194 261 A
696 703 B
706 709 B
382 414 A
417 557 A
301 597 A
558 687 A
370 539 B
672 675 A
121 441 A
690 703 A
83 293 B
186 270 A
714 720 B
556 682 B
224 370 B
220 351 A
98 504 B
562 605 A
370 480 A
588 686 B
65 410 A
664 708 B
429 581 B
703 718 B
101 418 A
333 667 B
90 640 A
376 424 B
493 623 A
677 713 B
222 424 B
105 693 B
307 623 A
349 649 A
59 60 B
622 703 A
161 288 A
250 268 A
305 483 B
333 585 B
458 626 B
718 720 B
63 617 B
695 718 A
353 572 B
405 456 A
93 530 A
512 687 B
99 537 B
605 648 A
684 711 A
150 227 A
295 492 B
663 703 B
178 239 B
675 716 B
681 684 B
453 590 A
687 711 B
618 651 B
66 291 B
288 546 B
582 661 A
227 322 B
190 392 B
554 683 B
481 664 A
139 316 A
557 638 B
690 710 B
231 629 B
27 29 B
439 669 A
361 718 B
546 562 A
74 472 B
511 541 B
29 161 B
35 110 A
533 689 B
501 526 B
691 707 B
595 632 B
236 413 A
603 705 B
347 655 B
215 691 A
500 668 B
167 583 A
636 654 A
695 700 B
156 206 A
586 625 A
447 530 A
404 561 A
45 694 A
460 717 A
267 278 B
428 697 A
700 708 A
617 625 B
280 392 B
3 618 B
113 596 A
103 633 A
340 565 A
558 706 A
555 682 B
482 681 A
380 685 B
414 692 B
129 515 A
565 596 A
446 577 B
385 519 A
103 311 A
211 501 A
455 571 B
175 206 B
311 355 B
664 671 B
131 413 A
233 577 A
473 519 B
90 420 A
160 416 A
65 603 A
692 715 B
662 664 B
245 403 A
206 448 A
686 708 A
599 672 A
54 161 A
518 591 A
74 121 A
251 571 A
319 333 B
291 701 A
633 646 A
122 611 B
341 439 A
325 364 B
14 532 B
182 373 A
43 544 A
532 642 B
281 672 A
73 265 B
310 389 A
293 452 B
474 717 A
384 676 B
139 217 A
655 672 B
18 243 A
436 681 A
548 663 B
416 418 B
478 674 A
370 585 A
96 155 A
59 298 A
241 392 B
630 648 B
411 418 A
342 455 B
73 91 B
299 375 A
255 640 A
120 540 B
274 331 A
235 438 B
313 368 A
288 452 A
479 562 A
553 712 A
166 660 A
485 531 A
512 693 B
598 664 B
32 56 B
369 463 A
259 622 A
413 617 B
524 555 A
153 653 B
431 492 B
564 686 A
352 520 B
624 662 A
625 690 B
433 465 A
330 639 A
569 685 B
382 420 A
135 251 B
343 466 A
166 453 A
13 335 B
11 585 B
587 673 B
238 299 A
520 529 A
23 410 A
297 699 B
144 249 B
91 244 B
393 531 B
667 698 B
253 681 A
469 590 A
642 658 A
337 487 B
15 644 B
464 631 B
471 472 A
259 463 B
101 276 A
229 233 B
408 503 A
145 334 B
398 433 B
244 706 A
99 430 A
134 708 B
16 495 B
252 595 A
439 707 B
135 324 B
448 461 A
253 628 B
177 297 B
234 659 B
401 700 A
115 597 B
309 669 A
290 342 B
239 370 A
318 456 A
361 428 A
313 403 A
48 309 A
683 714 A
457 653 B
443 519 A
614 703 A
534 558 B
17 148 B
593 632 A
171 488 A
673 714 A
28 567 A
632 639 A
315 600 B
525 549 A
451 688 B
343 431 B
136 285 A
695 715 A
327 336 A
679 707 B
557 646 A
249 527 A
650 674 A
648 714 B
211 464 A
685 709 A
188 225 A
433 635 A
443 465 B
714 719 A
667 674 A
649 707 A
608 708 A
671 713 A
641 675 A
272 324 B
284 497 A
663 669 A
271 363 B
435 558 A
611 714 A
710 711 B
179 484 A
206 456 B
192 463 B
409 473 A
400 640 A
155 380 B
42 513 B
444 602 B
216 607 A
440 490 A
317 424 A
689 698 A
159 402 A
238 532 B
321 668 B
27 672 A
696 706 B
196 357 B
288 390 B
539 632 B
119 233 A
117 509 A
607 626 B
207 327 B
270 502 A
595 656 A
561 717 B
34 195 A
394 637 B
430 456 B
350 652 A
453 585 B
486 558 B
673 700 B
273 497 A
115 359 A
20 687 B
523 563 B
522 541 B
434 449 A
418 624 B
44 629 B
477 515 A
175 488 A
483 658 A
154 338 A
396 565 B
403 613 B
623 710 B
185 253 B
226 667 B
274 605 B
672 685 B
262 467 A
538 674 B
144 588 A
335 410 A
77 84 A
587 597 A
521 575 B
132 485 B
668 707 A
147 630 A
501 671 A
414 487 A
253 377 B
562 640 B
398 475 A
306 430 B
287 411 B
699 713 B
677 681 A
259 385 A
376 411 B
658 669 B
606 632 A
427 449 B
275 426 B
359 649 B
709 712 B
183 228 A
531 718 B
135 719 B
654 713 A
409 529 B
599 705 B
114 398 A
343 393 B
685 700 B
400 545 A
542 571 A
189 405 B
527 544 B
311 653 A
507 560 A
184 716 A
199 398 B
648 659 B
611 668 B
542 664 A
393 510 A
631 634 B
298 486 B
131 359 A
240 362 A
348 621 A
73 456 A
165 630 B
60 90 A
44 242 A
416 484 A
414 468 B
38 348 B
246 715 B
655 661 A
14 20 A
443 642 A
312 457 B
235 352 B
483 596 B
212 690 A
277 647 A
420 583 A
498 567 B
406 680 B
103 530 A
174 489 B
211 586 B
459 695 A
307 360 B
422 566 B
620 654 B
264 413 B
396 654 A
574 604 A
90 608 B
189 647 A
303 450 A
406 428 B
719 720 B
269 604 B
615 619 B
440 516 B
512 560 B
405 524 A
371 508 B
465 654 A
582 633 B
469 666 B
669 713 A
461 540 B
699 701 A
665 713 A
583 670 B
700 705 B
394 595 A
388 688 B
100 200 A
295 657 B
421 626 B
672 687 B
592 692 B
484 581 B
481 694 B
407 599 B
113 144 A
481 572 B
321 414 A
86 234 A
545 561 B
403 597 B
67 256 A
497 646 B
469 650 B
388 469 A
351 373 B
69 588 A
488 656 A
428 655 A
202 207 B
584 634 A
221 711 B
16 341 A
579 612 B
93 456 A
69 200 B
507 606 B
226 388 B
47 297 B
591 654 B
510 525 B
368 461 A
1 509 B
85 451 A
677 686 A
470 525 A
571 710 A
335 418 A
409 470 B
380 484 B
98 192 A
21 319 A
222 645 A
660 681 A
351 479 B
629 702 B
586 624 A
415 565 A
409 476 B
204 449 B
180 496 B
3 699 A
151 289 B
600 629 B
469 671 B
352 543 A
76 462 A
495 616 A
694 702 B
419 447 B
500 599 A
654 668 A
685 717 B
545 631 B
309 387 A
479 632 A
488 719 B
10 520 A
671 714 A
427 663 B
16 324 A
456 612 B
258 562 B
343 651 A
647 715 A
110 489 A
516 554 B
656 712 A
124 684 A
278 643 A
528 716 A
711 719 B
236 718 B
638 708 B
